strain,screw_percent,mixed_percent,edge_percent
5.702950999999999940e-04,4.596030202957076227e+01,2.516892558276616398e+01,2.887077238766307019e+01
5.732950999999999585e-04,4.623909204898696146e+01,2.542061060978446463e+01,2.834029734122858102e+01
5.762951000000000315e-04,4.675503133603044859e+01,2.514331587744902308e+01,2.810165278652052123e+01
5.792950999999999960e-04,4.691086937731429174e+01,2.548971607510199178e+01,2.759941454758371293e+01
5.822950999999999605e-04,4.741678767758944701e+01,2.538896885869934295e+01,2.719424346371122425e+01
5.852951000000000334e-04,4.770644594077117517e+01,2.532822294859361278e+01,2.696533111063520849e+01
5.882950999999999979e-04,4.821818202277656695e+01,2.535899854687463062e+01,2.642281943034879887e+01
5.912950999999999624e-04,4.823039213371063028e+01,2.541434921131651237e+01,2.635525865497286446e+01
5.942951000000000353e-04,4.852873621254290271e+01,2.551303799887486434e+01,2.595822578858224006e+01
5.972950999999999998e-04,4.894555688150216355e+01,2.512713345861276437e+01,2.592730965988506853e+01
6.002950999999999643e-04,4.937165935468587463e+01,2.503453480175912205e+01,2.559380584355499622e+01
6.032951000000000372e-04,4.980297681001377441e+01,2.546831016327758235e+01,2.472871302670863969e+01
6.062951000000000017e-04,5.033926337556995634e+01,2.509068340892645921e+01,2.457005321550358801e+01
6.092950999999999662e-04,5.070859486429916529e+01,2.476264716761737006e+01,2.452875796808346465e+01
6.122951000000000392e-04,5.116962323593342887e+01,2.438855850774351808e+01,2.444181825632306726e+01
6.152951000000000037e-04,5.093546303451389434e+01,2.465607176332060391e+01,2.440846520216550886e+01
6.182950999999999682e-04,5.127610888691290114e+01,2.459420936684612258e+01,2.412968174624097983e+01
6.212951000000000411e-04,5.158388259281668553e+01,2.469491942382183680e+01,2.372119798336147767e+01
6.242951000000000056e-04,5.174347677110588251e+01,2.456040059808456277e+01,2.369612263080955827e+01
6.272950999999999701e-04,5.182739499554017470e+01,2.507721201601179573e+01,2.309539298844803312e+01
6.302951000000000430e-04,5.209962453568832075e+01,2.494139487516660836e+01,2.295898058914506734e+01
6.332951000000000075e-04,5.246238858761201840e+01,2.481970304576267594e+01,2.271790836662530211e+01
6.362950999999999720e-04,5.305897264336675079e+01,2.408196821504361296e+01,2.285905914158963270e+01
6.392951000000000449e-04,5.313098759750948830e+01,2.446088788546618886e+01,2.240812451702432284e+01
6.422951000000000094e-04,5.370930982621919014e+01,2.413811986249016783e+01,2.215257031129063847e+01
6.452950999999999739e-04,5.375008286290830029e+01,2.431873496525684430e+01,2.193118217183485186e+01
6.482951000000000468e-04,5.411241874049284917e+01,2.427191799945468986e+01,2.161566326005247518e+01
6.512951000000000113e-04,5.416495948452445930e+01,2.485824344153016696e+01,2.097679707394538084e+01
6.542950999999999758e-04,5.430130470265157783e+01,2.500814908238468348e+01,2.069054621496373159e+01
6.572951000000000488e-04,5.455267096105704638e+01,2.484399093917480883e+01,2.060333809976814123e+01
6.602951000000000133e-04,5.482505905376365973e+01,2.463752081902784852e+01,2.053742012720850596e+01
6.632950999999999778e-04,5.513582057975961703e+01,2.470832738470343415e+01,2.015585203553695948e+01
6.662951000000000507e-04,5.537237287557268672e+01,2.492079637982652685e+01,1.970683074460077933e+01
6.692951000000000152e-04,5.528863311122383095e+01,2.512229745459968200e+01,1.958906943417649060e+01
6.722950999999999797e-04,5.551160716014877039e+01,2.489681234555730427e+01,1.959158049429392534e+01
6.752951000000000526e-04,5.566613313068521762e+01,2.484793108299023245e+01,1.948593578632455348e+01
6.782951000000000171e-04,5.603661623066513897e+01,2.472299650407541094e+01,1.924038726525944654e+01
6.812950999999999816e-04,5.627073559327918417e+01,2.429966801521525355e+01,1.942959639150555162e+01
6.842950999999999461e-04,5.648766890759509351e+01,2.443674991481318415e+01,1.907558117759171168e+01
6.872951000000000190e-04,5.678798650559777172e+01,2.422098226651213437e+01,1.899103122789007614e+01
6.902950999999999835e-04,5.734386608007621078e+01,2.360372697349259496e+01,1.905240694643119426e+01
6.932950999999999480e-04,5.768929952928026950e+01,2.326172292632379879e+01,1.904897754439593527e+01
6.962951000000000210e-04,5.798876658819323637e+01,2.303531851918235773e+01,1.897591489262440234e+01
6.992950999999999855e-04,5.832576735836754978e+01,2.297620394489885243e+01,1.869802869673360135e+01
7.022950999999999500e-04,5.866996598638915117e+01,2.263582567982425076e+01,1.869420833378659808e+01
7.052951000000000229e-04,5.855780662732367148e+01,2.307881607924998235e+01,1.836337729342635328e+01
7.082950999999999874e-04,5.855835783796410965e+01,2.301997593933350927e+01,1.842166622270238463e+01
7.112950999999999519e-04,5.894046807420022560e+01,2.290209972586821863e+01,1.815743219993155222e+01
7.142951000000000248e-04,5.896517596519326077e+01,2.315382926650122641e+01,1.788099476830551282e+01
7.172950999999999893e-04,5.844090142159175372e+01,2.345561853170825017e+01,1.810348004669999256e+01
7.202950999999999538e-04,5.879766945964147595e+01,2.304692711517615678e+01,1.815540342518237082e+01
7.232951000000000267e-04,5.912508492153521189e+01,2.282339152018083794e+01,1.805152355828392885e+01
7.262950999999999912e-04,5.943910316788148407e+01,2.328848494697430027e+01,1.727241188514422632e+01
7.292950999999999557e-04,5.957785098340171714e+01,2.301958659203856783e+01,1.740256242455971147e+01
7.322951000000000286e-04,5.915439627150097124e+01,2.336957469266790355e+01,1.747602903583112521e+01
7.352950999999999931e-04,5.942125715600988656e+01,2.294610559782610792e+01,1.763263724616401262e+01
7.382950999999999576e-04,5.970491845976949463e+01,2.290550004305296028e+01,1.738958149717754509e+01
7.412951000000000306e-04,5.985910231554196770e+01,2.293773658172310448e+01,1.720316110273493138e+01
7.442950999999999951e-04,6.027970700081787214e+01,2.256550864700825798e+01,1.715478435217388764e+01
7.472950999999999596e-04,6.042816101707578014e+01,2.215179359273035331e+01,1.742004539019386300e+01
7.502951000000000325e-04,6.056619641198638249e+01,2.231951101777238478e+01,1.711429257024121853e+01
7.532950999999999970e-04,6.077122878415450913e+01,2.229328862196589611e+01,1.693548259387959831e+01
7.562950999999999615e-04,6.093966284511272846e+01,2.228134961753240617e+01,1.677898753735486892e+01
7.592951000000000344e-04,6.112932710484660959e+01,2.218586437203470396e+01,1.668480852311869711e+01
7.622950999999999989e-04,6.161745035665762060e+01,2.204319918484900498e+01,1.633935045849338508e+01
7.652950999999999634e-04,6.154811083459907195e+01,2.220022980338821128e+01,1.625165936201271677e+01
